Number,Name,Description,Type,State,Priority,Owner,Created On,Modified On,Module,Parent Number,Traced To
TPS-001,Thermal Protection System Overview,"The thermal protection system shall provide comprehensive heat shielding for all external surfaces exposed to re-entry temperatures exceeding 1260°C.",Functional,Approved,Critical,Sarah Chen,2024-06-15,2025-01-20,TPS-CORE,,
TPS-002,Heat Shield Material Selection,"The TPS shall use reinforced carbon-carbon (RCC) composite tiles rated for sustained temperatures up to 1650°C on leading edges and nose cap.",Functional,Approved,Critical,Sarah Chen,2024-06-15,2025-01-18,TPS-CORE,TPS-001,TPS-003
TPS-003,Tile Bonding Interface Specification,"Each TPS tile shall bond to the primary structure via strain-isolation pad (SIP) with a minimum peel strength of 15 kPa at operating temperature.",Interface,Approved,High,James Rivera,2024-07-01,2025-02-05,TPS-CORE,TPS-001,TPS-002
TPS-004,Surface Temperature Monitoring,"The TPS shall include embedded thermocouple arrays at no fewer than 48 discrete locations to provide real-time surface temperature telemetry.",Functional,Approved,High,Mei Wong,2024-07-10,2025-01-25,TPS-SENSOR,TPS-001,TPS-005
TPS-005,Thermal Telemetry Data Interface,"Temperature sensor data shall be transmitted to the onboard data handling system via MIL-STD-1553B data bus at a minimum rate of 10 Hz per channel.",Interface,Approved,High,Mei Wong,2024-07-10,2025-02-10,TPS-SENSOR,TPS-004,TPS-004
TPS-006,Ablative Material Performance,"Ablative TPS materials shall demonstrate mass loss not exceeding 0.05 g/cm² per minute under peak heating conditions of 50 W/cm².",Non-Functional,Approved,Critical,Sarah Chen,2024-08-01,2025-01-30,TPS-CORE,TPS-001,TPS-002
TPS-007,Gap Filler Requirements,"All inter-tile gaps shall be filled with ceramic-fiber gap fillers rated to 1400°C with a maximum installed gap width of 2.5 mm.",Functional,Approved,High,James Rivera,2024-08-15,2025-02-01,TPS-CORE,TPS-001,TPS-003
TPS-008,Inspection Access Provisions,"The TPS design shall provide non-destructive inspection (NDI) access to a minimum of 90% of bonded tile interfaces without tile removal.",Non-Functional,Under Review,Medium,David Park,2024-09-01,2025-02-15,TPS-MAINT,,TPS-003
TPS-009,Thermal Cycling Endurance,"TPS tiles shall withstand a minimum of 100 thermal cycles from -150°C to +1260°C without degradation in structural integrity or thermal performance.",Non-Functional,Approved,Critical,Sarah Chen,2024-09-10,2025-01-28,TPS-CORE,TPS-001,TPS-002
TPS-010,Emergency Repair Kit,"An on-orbit TPS repair kit shall be provided capable of patching damaged tiles up to 150 cm² per repair with thermal performance equivalent to 80% of original specification.",Functional,Draft,Medium,David Park,2024-10-01,2025-02-20,TPS-MAINT,,
TPS-011,Aerodynamic Surface Tolerance,"Installed TPS tile surfaces shall maintain aerodynamic smoothness within ±0.5 mm of the outer mold line (OML) design contour.",Non-Functional,Approved,High,James Rivera,2024-10-15,2025-01-22,TPS-CORE,TPS-001,TPS-007
TPS-012,Lightning Strike Protection,"The TPS shall incorporate lightning strike protection capable of withstanding Zone 1A attachment (200 kA peak, 2×10⁶ A²s action integral) without breach of thermal barrier.",Functional,Under Review,High,Mei Wong,2024-11-01,2025-02-18,TPS-PROT,TPS-001,
TPS-013,Acoustic Load Resistance,"TPS tiles and attachment systems shall withstand acoustic loads of 165 dB OASPL during launch and ascent phases without debonding or fracture.",Non-Functional,Approved,High,Sarah Chen,2024-11-10,2025-01-25,TPS-CORE,TPS-001,TPS-003
TPS-014,Rain Erosion Resistance,"The TPS outer surface coating shall resist rain erosion at impact velocities up to 250 m/s with droplet sizes of 2 mm diameter.",Non-Functional,Under Review,Medium,James Rivera,2024-11-15,2025-02-12,TPS-PROT,TPS-001,
TPS-015,Thermal Protection System Weight Budget,"The complete TPS assembly (tiles, SIP, gap fillers, fasteners, and coatings) shall not exceed 8.5 kg/m² as an area-averaged mass.",Non-Functional,Approved,Critical,Sarah Chen,2024-12-01,2025-02-01,TPS-CORE,TPS-001,
TPS-016,Waterproofing System,"The TPS shall include a waterproofing system to prevent moisture absorption exceeding 1% by weight of the tile material after 72 hours of exposure to 95% relative humidity.",Functional,Approved,Medium,David Park,2024-12-10,2025-02-08,TPS-PROT,TPS-001,TPS-007
TPS-017,Structural Load Transfer,"TPS attachment points shall transfer aerodynamic pressure loads up to 14.4 kPa (300 psf) to the primary structure without permanent deformation of the attachment hardware.",Functional,Approved,High,James Rivera,2025-01-05,2025-02-15,TPS-CORE,TPS-001,"TPS-003,TPS-011"
TPS-018,Thermal Soak-Back Limit,"The TPS shall limit thermal soak-back to the primary aluminum structure to a maximum of 175°C at any point during and after re-entry.",Non-Functional,Approved,Critical,Sarah Chen,2025-01-10,2025-02-10,TPS-CORE,TPS-001,"TPS-002,TPS-006"
TPS-019,Configuration Management,"All TPS tile locations shall be uniquely identified using a coordinate-based numbering system traceable to the vehicle coordinate reference frame.",Non-Functional,Approved,Medium,David Park,2025-01-15,2025-02-20,TPS-MAINT,TPS-001,
TPS-020,Obsolescence Management Plan,"The TPS design shall identify single-source materials and establish qualification of at least one alternative source for each critical material within 24 months of PDR.",Non-Functional,Draft,Low,David Park,2025-01-20,2025-02-25,TPS-MAINT,,
NAV-001,Inertial Navigation Unit,"The spacecraft shall incorporate a radiation-hardened inertial navigation unit providing 3-axis attitude determination with drift rate not exceeding 0.01°/hr.",Functional,Approved,Critical,Alex Kumar,2024-06-20,2025-01-15,NAV-CORE,,
NAV-002,Star Tracker Integration,"The navigation system shall integrate dual star tracker heads providing absolute attitude determination accuracy of 5 arcseconds (3-sigma) about all three axes.",Functional,Approved,High,Alex Kumar,2024-07-01,2025-01-20,NAV-CORE,NAV-001,NAV-001
NAV-003,GPS Receiver Specification,"The navigation system shall include a space-qualified GPS receiver capable of providing position accuracy of 10 m (95%) during pre-entry phases above 200 km altitude.",Functional,Under Review,High,Priya Patel,2024-07-15,2025-02-01,NAV-CORE,NAV-001,NAV-001
NAV-004,Navigation Data Fusion,"The flight computer shall implement an extended Kalman filter fusing INS, star tracker, and GPS measurements with a minimum update rate of 50 Hz.",Functional,Approved,High,Alex Kumar,2024-08-01,2025-02-10,NAV-SW,NAV-001,"NAV-001,NAV-002,NAV-003"
NAV-005,Entry Interface State Vector,"The navigation system shall provide entry interface state vector with position accuracy of 100 m and velocity accuracy of 0.1 m/s (3-sigma) at 122 km altitude.",Non-Functional,Approved,Critical,Priya Patel,2024-08-15,2025-01-28,NAV-SW,NAV-001,NAV-004
COMM-001,S-Band Telemetry Downlink,"The communication system shall provide S-band telemetry downlink at a minimum data rate of 2 Mbps via TDRS relay during all mission phases.",Functional,Approved,High,Robert Kim,2024-06-25,2025-01-18,COMM-RF,,
COMM-002,UHF Voice Communication,"The communication system shall support UHF voice communication with ground stations using TDMA protocol with a maximum latency of 250 ms one-way.",Functional,Approved,High,Robert Kim,2024-07-05,2025-02-05,COMM-RF,COMM-001,
COMM-003,Communication Blackout Mitigation,"The system shall implement data buffering of at least 600 seconds of telemetry to cover communication blackout periods during peak ionization.",Functional,Under Review,Medium,Robert Kim,2024-08-10,2025-02-15,COMM-SW,COMM-001,COMM-001
COMM-004,Encryption Requirements,"All telemetry and command links shall implement AES-256 encryption with FIPS 140-2 Level 3 validated cryptographic modules.",Non-Functional,Approved,Critical,Li Zhang,2024-09-01,2025-01-30,COMM-SEC,COMM-001,
PWR-001,Primary Power Generation,"The electrical power system shall generate a minimum of 12.5 kW average power via deployable solar arrays with triple-junction GaAs cells.",Functional,Approved,Critical,Maria Santos,2024-06-20,2025-01-22,PWR-GEN,,
PWR-002,Battery Energy Storage,"The EPS shall include lithium-ion battery storage with a minimum capacity of 24 kWh providing full spacecraft power for at least 90 minutes during eclipse periods.",Functional,Approved,High,Maria Santos,2024-07-01,2025-02-01,PWR-STOR,PWR-001,PWR-001
PWR-003,Power Distribution Unit,"The power distribution unit shall provide regulated 28V±2% DC bus with overcurrent protection and autonomous fault isolation within 10 ms.",Functional,Approved,High,Maria Santos,2024-07-15,2025-02-10,PWR-DIST,PWR-001,PWR-001
PWR-004,Emergency Power Mode,"In emergency power mode, the EPS shall sustain critical avionics loads (minimum 1.5 kW) for at least 8 hours using battery reserves only.",Functional,Under Review,Critical,Maria Santos,2024-08-01,2025-02-18,PWR-STOR,PWR-001,"PWR-001,PWR-002"
GNC-001,Attitude Control System,"The GNC system shall provide 3-axis attitude control using reaction control thrusters with a minimum pointing accuracy of 0.1° and pointing stability of 0.01°/s.",Functional,Approved,Critical,Alex Kumar,2024-06-25,2025-01-20,GNC-ACS,,
GNC-002,Reaction Control Thruster Specification,"Each RCS thruster shall provide a minimum impulse bit of 0.5 N·s with a specific impulse of at least 220 seconds using hydrazine monopropellant.",Functional,Approved,High,Alex Kumar,2024-07-10,2025-02-05,GNC-ACS,GNC-001,GNC-001
GNC-003,De-Orbit Burn Sequence,"The GNC system shall execute autonomous de-orbit burn sequences with delta-V accuracy of ±0.5 m/s using closed-loop thrust vector control.",Functional,Approved,Critical,Priya Patel,2024-08-01,2025-01-28,GNC-SW,GNC-001,"GNC-001,GNC-002"
GNC-004,Entry Guidance Algorithm,"The entry guidance algorithm shall target landing within a 10 km radius (99.7%) of the designated landing site using bank angle modulation.",Functional,Under Review,Critical,Priya Patel,2024-09-01,2025-02-15,GNC-SW,GNC-001,NAV-005
LSS-001,Atmospheric Pressure Control,"The life support system shall maintain cabin pressure between 97.9 kPa and 102.7 kPa with oxygen partial pressure of 20.7-23.1 kPa.",Functional,Approved,Critical,Dr. Emily Watson,2024-06-20,2025-01-15,LSS-ATMO,,
LSS-002,Carbon Dioxide Removal,"The ECLSS shall remove CO2 from cabin atmosphere maintaining concentration below 5.3 mmHg partial pressure for a crew of 4 during missions up to 14 days.",Functional,Approved,Critical,Dr. Emily Watson,2024-07-01,2025-02-01,LSS-ATMO,LSS-001,LSS-001
LSS-003,Temperature and Humidity Control,"The thermal control system shall maintain cabin temperature between 18°C and 27°C with relative humidity between 25% and 75%.",Functional,Approved,High,Dr. Emily Watson,2024-07-15,2025-02-10,LSS-THERM,LSS-001,
LSS-004,Potable Water System,"The water recovery system shall produce potable water meeting NASA-STD-3001 standards at a minimum rate of 2.5 L per crew member per day.",Functional,Under Review,High,Dr. Emily Watson,2024-08-01,2025-02-20,LSS-WATER,LSS-001,
